Incident ID,Incident Date,State,State Code,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1289686,2018-12-31T00:00:00Z,Ohio,39,Cleveland,4462 Denison Ave,3,2,0,0,0,
1288376,2018-12-29T00:00:00Z,Ohio,39,Lima,904 S Main St,1,3,0,0,1,
1287286,2018-12-28T00:00:00Z,Missouri,29,Saint Charles,150 Whetstone Dr,4,0,0,1,1,
1284586,2018-12-24T00:00:00Z,Louisiana,22,Lutcher,2176 Main St,2,2,0,0,2,
1283229,2018-12-23T00:00:00Z,Missouri,29,Springfield,1042 W College St,1,6,0,0,1,
1282704,2018-12-22T00:00:00Z,Nevada,32,Las Vegas,3528 S Maryland Pkwy,0,4,0,0,0,
1279617,2018-12-18T00:00:00Z,Maryland,24,Baltimore,3942 Park Heights Ave,0,4,0,1,1,
1277327,2018-12-15T00:00:00Z,Florida,12,Miami,239 NW 16th St,0,5,0,0,0,
1277411,2018-12-14T00:00:00Z,Colorado,8,Colorado Springs,700 block of Geiger Ct,1,3,0,0,2,
1276091,2018-12-13T00:00:00Z,Pennsylvania,42,Philadelphia,4505 N Broad St,0,4,0,0,0,
1276298,2018-12-11T00:00:00Z,Louisiana,22,Natchitoches,Caspari St and University Pkwy,1,3,0,0,0,
1272855,2018-12-09T00:00:00Z,Wisconsin,55,Madison,3554 E Washington Ave,0,4,0,0,2,
1273161,2018-12-08T00:00:00Z,California,6,Inglewood,801 S Inglewood Ave,0,5,0,0,0,
1272106,2018-12-08T00:00:00Z,New York,36,Corona (Queens),89-25 130th St,0,5,0,0,1,
1267682,2018-12-01T00:00:00Z,Florida,12,Miami,NW Fifth Ave and NW Eighth St,0,5,0,0,0,
1266937,2018-11-26T00:00:00Z,Tennessee,47,Powell,Tammy Dr,0,4,0,0,2,
1262814,2018-11-25T00:00:00Z,Alabama,1,Demopolis,Floyd St and Field St,2,2,0,0,0,
1263332,2018-11-25T00:00:00Z,California,6,Oakland,1000 block of 24th St,0,4,0,0,0,
1263086,2018-11-25T00:00:00Z,Texas,48,Houston,4500 block of Yale St,1,3,0,0,0,
1262013,2018-11-23T00:00:00Z,Florida,12,Miami,5801 NW 27th Ave,2,5,0,0,0,
1261351,2018-11-22T00:00:00Z,Indiana,18,Fort Wayne,6100 block of Downingtown Dr,3,2,0,0,2,
1260525,2018-11-21T00:00:00Z,Missouri,29,Saint Louis,4200 block of Shreve Ave,0,4,0,0,0,
1258777,2018-11-19T00:00:00Z,Colorado,8,Denver,1200 21st Street,1,3,0,1,2,
1258804,2018-11-19T00:00:00Z,Pennsylvania,42,Philadelphia,5100 block of Malcolm St,4,0,0,0,4,
1258009,2018-11-18T00:00:00Z,California,6,Los Angeles (Watts),95th St and Defiance Ave,2,2,0,1,0,
1257508,2018-11-16T00:00:00Z,Arkansas,5,Little Rock,4405 W 14th St,3,1,0,0,1,
1256435,2018-11-14T00:00:00Z,Louisiana,22,Baton Rouge,4896 Gus Young Ave,3,1,0,0,0,
1254225,2018-11-13T00:00:00Z,New Mexico,35,Gallup,CR 1 and Defiance Draw Rd,3,1,1,0,0,
1254084,2018-11-12T00:00:00Z,North Carolina,37,Dunn,4640 Woods Crossroads Rd,3,1,0,0,1,
1253361,2018-11-11T00:00:00Z,Arizona,4,Globe,598 N Broad St,3,1,0,0,1,
1249561,2018-11-07T00:00:00Z,California,6,Thousand Oaks,99 Rolling Oaks Dr,12,2,1,0,0,
1246727,2018-11-03T00:00:00Z,New York,36,Watertown,136 Franklin St,0,5,0,0,1,
1247019,2018-11-02T00:00:00Z,California,6,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,0,0,0,
1246489,2018-11-02T00:00:00Z,Florida,12,Tallahassee,1950 Thomasville Rd,2,4,1,0,0,
1245274,2018-11-01T00:00:00Z,Missouri,29,Springfield,906 E Locust St,3,2,0,0,1,
1245703,2018-11-01T00:00:00Z,Minnesota,27,Minneapolis,3400 block of Girard Ave N,0,5,0,0,0,
1244754,2018-10-31T00:00:00Z,Michigan,26,Detroit,19000 block of Langholm St,1,3,0,0,1,
1246059,2018-10-30T00:00:00Z,California,6,Vallejo,Woodrow Ave and Reis Ave,2,3,0,0,0,
1244424,2018-10-30T00:00:00Z,California,6,Los Angeles,65th Place and Vermont Avenue,0,5,0,0,0,
1243331,2018-10-29T00:00:00Z,California,6,Riverside,3252 Mission Inn Ave,0,7,0,0,0,
1243010,2018-10-28T00:00:00Z,Arkansas,5,El Dorado,2 Whites Quarters,2,2,0,0,1,
1242807,2018-10-27T00:00:00Z,Tennessee,47,Memphis,4275 Lady Slipper Ln,0,5,0,0,3,
1241819,2018-10-27T00:00:00Z,Pennsylvania,42,Pittsburgh,5898 Wilkins Ave,11,6,0,1,1,
1242443,2018-10-26T00:00:00Z,New Jersey,34,Jersey City,77 Brinkerhoff St,1,3,0,0,2,
1240751,2018-10-24T00:00:00Z,Illinois,17,Chicago,6200 block of S King Dr,0,5,0,0,0,
1238603,2018-10-22T00:00:00Z,Illinois,17,Chicago,9231 S Cottage Grove Av,0,6,0,0,0,
1237930,2018-10-21T00:00:00Z,Florida,12,Jacksonville,900 block of A Philip Randolph Blvd,1,5,0,0,0,
