,Incident ID,Incident Date,State Code,Population_state,County,State_x,County Code,Population_county
0,1289686,2018-12-31T00:00:00Z,39,11689100,Cuyahoga County,Ohio,35,1236994
1,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,81,180698
2,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,77,8367
3,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,71,822391
4,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,177,33678
5,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,103,33938
6,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,111,32829
7,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,129,7273
8,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,81,82824
9,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,105,65543
10,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,61,16161
11,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,287,17971
12,1288376,2018-12-29T00:00:00Z,39,11689100,Lee County,Ohio,105,21847
13,1287286,2018-12-28T00:00:00Z,29,6137428,Charles County,Missouri,17,170111
14,1284586,2018-12-24T00:00:00Z,22,4648794,Letcher County,Louisiana,133,20827
15,1283229,2018-12-23T00:00:00Z,29,6137428,Sangamon County,Missouri,167,194151
16,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,19,21276
17,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,33,810
18,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,23,15160
19,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,19,124222
20,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,25,1939
21,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,49,36992
22,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,45,6715
23,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,3,2322535
24,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,23,134732
25,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,25,3923
26,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,11,516737
27,1282704,2018-12-22T00:00:00Z,32,3080156,Clark County,Nevada,19,34732
28,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,81,180698
29,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,77,8367
30,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,71,822391
31,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,177,33678
32,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,103,33938
33,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,111,32829
34,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,129,7273
35,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,81,82824
36,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,105,65543
37,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,61,16161
38,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,287,17971
39,1279617,2018-12-18T00:00:00Z,24,6045680,Lee County,Maryland,105,21847
40,1277327,2018-12-15T00:00:00Z,12,21477737,Miami-Dade County,Florida,86,2673056
