Incident ID,Incident Date,State,State Code,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
3049957,2024-10-17T00:00:00Z,Louisiana,22,Lafayette,Marie Antoinette St and Stuart St,Lafayette High School  (New Building Site),0,1,0,0,0,N/A
3050248,2024-10-17T00:00:00Z,Ohio,39,Lorain,2515 Marshall Ave,Frank Jacinto Elementary School,0,0,0,0,0,N/A
3050102,2024-10-17T00:00:00Z,Kentucky,21,Louisville,3000 Dundee Rd,Atherton High School,0,1,0,0,0,N/A
3049194,2024-10-16T00:00:00Z,Tennessee,47,Antioch,1900 Hobson Pike,Antioch High School,0,0,0,0,1,N/A
3048736,2024-10-16T00:00:00Z,North Carolina,37,Raleigh,Thurman Dr and Varsity Dr,North Carolina State University,0,0,0,0,1,N/A
3049683,2024-10-16T00:00:00Z,Georgia,13,Grovetown,2010 Warrior Way,Grovetown High School,0,0,0,0,1,N/A
3048104,2024-10-15T00:00:00Z,Alabama,1,Huntsville,2304 Billie Watkins St SW,Huntsville High School,0,0,0,0,0,N/A
3048837,2024-10-15T00:00:00Z,California,6,Victorville,18422 Bear Valley Rd,Victor Valley College,0,0,0,0,1,N/A
3048771,2024-10-15T00:00:00Z,Virginia,51,Virginia Beach,1700 Dahlia Dr,Green Run High School,0,0,0,0,1,N/A
3048245,2024-10-15T00:00:00Z,Maryland,24,Ellicott City,8700 Old Annapolis Rd,Howard High School,0,0,0,0,1,N/A
3048557,2024-10-15T00:00:00Z,Washington,53,Spokane,4106 N Cook St,Shaw Middle School,0,0,0,0,1,N/A
3047242,2024-10-14T00:00:00Z,South Carolina,45,Mount Pleasant,1560 Mathis Ferry Rd,Lucy Beckham High School,0,0,0,0,1,N/A
3049685,2024-10-14T00:00:00Z,South Carolina,45,Walterboro,165 Academy Rd,Colleton Preparatory Academy,0,0,0,0,1,N/A
3048039,2024-10-14T00:00:00Z,Virginia,51,Colonial Heights,E River Rd,Virginia State University,0,0,0,0,0,N/A
3048585,2024-10-14T00:00:00Z,California,6,Santa Monica,1660 Stewart St,Santa Monica College Center for Media and Design,1,0,1,0,0,N/A
3047595,2024-10-12T00:00:00Z,Louisiana,22,Baton Rouge,101 Gateway Center Ln,Wendy's in Gateway Center,0,0,0,0,0,N/A
3049141,2024-10-12T00:00:00Z,Michigan,26,Pontiac,N/A,N/A,0,0,0,0,1,N/A
3047597,2024-10-12T00:00:00Z,Louisiana,22,Baton Rouge,Aster St and Spruce Dr,LSU Aster Street North Lot,0,0,0,0,1,N/A
3046682,2024-10-12T00:00:00Z,Texas,48,Wichita Falls,3410 Taft Blvd,Midwestern State University,0,0,0,0,1,N/A
3046274,2024-10-12T00:00:00Z,Indiana,18,South Bend,Titan Dr,River Crossing Campus Apartments,0,1,0,0,0,N/A
3045935,2024-10-11T00:00:00Z,Tennessee,47,Ooltewah,6123 Mountain View Rd,Ooltewah High School,0,0,0,0,1,N/A
3045179,2024-10-11T00:00:00Z,Louisiana,22,Zachary,4100 School St,Zachary High School,0,0,0,0,1,N/A
3045134,2024-10-11T00:00:00Z,North Carolina,37,Laurel Hill,11340 Old Wire Rd,Laurel Hill Elementary School,0,0,0,0,0,N/A
3045566,2024-10-11T00:00:00Z,Ohio,39,Cleveland (Cleveland Heights),13263 Cedar Rd,Cleveland Heights High School,0,0,0,0,1,N/A
3045513,2024-10-11T00:00:00Z,Virginia,51,Richmond (North Chesterfield),4901 Cogbill Rd,Meadowbrook High School,0,0,0,0,1,N/A
3044942,2024-10-10T00:00:00Z,Ohio,39,Cleveland (Cleveland Heights),13263 Cedar Rd,Cleveland Heights High School,0,0,0,0,1,N/A
3044807,2024-10-10T00:00:00Z,Illinois,17,Chicago,4837 W Erie St,Nash Elementary School,0,0,0,0,0,N/A
3048672,2024-10-10T00:00:00Z,Idaho,16,Caldwell,3401 S Indiana Ave,Caldwell Senior High School,0,0,0,0,1,N/A
3045022,2024-10-10T00:00:00Z,Mississippi,28,Petal,203 E Central Ave,Petal Middle School,0,0,0,0,1,N/A
3043732,2024-10-08T00:00:00Z,New Mexico,35,Albuquerque,10800 Dennis Chavez Blvd SW,Atrisco Heritage Academy High School,0,0,0,0,1,N/A
3043605,2024-10-08T00:00:00Z,Texas,48,Crandall,13385 FM 3039,Crandall High School,0,0,0,0,1,N/A
3045415,2024-10-07T00:00:00Z,Ohio,39,Cleveland (Cleveland Heights),13263 Cedar Rd,Cleveland Heights High School,0,0,0,0,1,N/A
3043190,2024-10-07T00:00:00Z,Oklahoma,40,Oklahoma City,9201 SW 59th St E,Prairie View Elementary School,0,0,0,0,0,N/A
3041305,2024-10-05T00:00:00Z,Alabama,1,Montgomery,915 S Jackson St,Alabama State University,0,0,0,0,2,N/A
3041977,2024-10-05T00:00:00Z,Indiana,18,Indianapolis,3360 W 30th St,Cardinal Ritter High School Football Field,0,2,0,0,0,N/A
3043114,2024-10-04T00:00:00Z,North Carolina,37,Winston Salem (Winston-salem),3545 Carver School Rd,Carver High School,0,0,0,0,1,N/A
3040834,2024-10-04T00:00:00Z,Florida,12,Rockledge,220 Rockledge Ave,Rockledge High School,0,0,0,0,3,N/A
3041144,2024-10-04T00:00:00Z,Texas,48,Weslaco,784 N Westgate Dr,"Bobby Lackey Stadium, Weslaco High School",0,0,0,0,1,N/A
3039796,2024-10-03T00:00:00Z,Nevada,32,North Las Vegas,3500 W Gilmore Ave,Theron L. Swainston Middle School,0,0,0,0,1,N/A
3039688,2024-10-03T00:00:00Z,Michigan,26,Eastpointe,15501 Couzens Ave,Eastpointe High School,0,0,0,0,1,N/A
3040286,2024-10-03T00:00:00Z,North Carolina,37,Garner,8228 Hebron Church Rd,South Garner High School,0,0,0,0,1,N/A
3039845,2024-10-03T00:00:00Z,Texas,48,Palestine,1600 TX-256 Loop,Palestine High School,0,0,0,0,0,N/A
3038999,2024-10-02T00:00:00Z,Mississippi,28,Columbus,215 Hemlock St,Columbus High School,0,0,0,0,1,N/A
