STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE
01,001,Alabama,Autauga County,4,59726
01,003,Alabama,Baldwin County,4,246531
01,005,Alabama,Barbour County,4,24700
01,007,Alabama,Bibb County,4,21986
01,009,Alabama,Blount County,4,59516
01,011,Alabama,Bullock County,4,10143
01,013,Alabama,Butler County,4,18668
01,015,Alabama,Calhoun County,4,115780
01,017,Alabama,Chambers County,4,34164
01,019,Alabama,Cherokee County,4,25353
01,021,Alabama,Chilton County,4,45848
01,023,Alabama,Choctaw County,4,12431
01,025,Alabama,Clarke County,4,22574
01,027,Alabama,Clay County,4,14183
01,029,Alabama,Cleburne County,4,15372
01,031,Alabama,Coffee County,4,54840
01,033,Alabama,Colbert County,4,57993
01,035,Alabama,Conecuh County,4,11224
01,037,Alabama,Coosa County,4,10307
01,039,Alabama,Covington County,4,37603
01,041,Alabama,Crenshaw County,4,13048
01,043,Alabama,Cullman County,4,90663
01,045,Alabama,Dale County,4,49495
01,047,Alabama,Dallas County,4,36729
01,049,Alabama,DeKalb County,4,72082
01,051,Alabama,Elmore County,4,89600
01,053,Alabama,Escambia County,4,36636
01,055,Alabama,Etowah County,4,102903
01,057,Alabama,Fayette County,4,16082
01,059,Alabama,Franklin County,4,31910
01,061,Alabama,Geneva County,4,26760
01,063,Alabama,Greene County,4,7452
01,065,Alabama,Hale County,4,14599
01,067,Alabama,Henry County,4,17670
01,069,Alabama,Houston County,4,108047
01,071,Alabama,Jackson County,4,52923
01,073,Alabama,Jefferson County,4,665084
01,075,Alabama,Lamar County,4,13706
01,077,Alabama,Lauderdale County,4,95875
01,079,Alabama,Lawrence County,4,33187
01,081,Alabama,Lee County,4,180698
01,083,Alabama,Limestone County,4,110868
01,085,Alabama,Lowndes County,4,9783
01,087,Alabama,Macon County,4,18532
01,089,Alabama,Madison County,4,403605
01,091,Alabama,Marengo County,4,18791
01,093,Alabama,Marion County,4,29182
01,095,Alabama,Marshall County,4,99428
01,097,Alabama,Mobile County,4,411398
01,099,Alabama,Monroe County,4,19412
01,101,Alabama,Montgomery County,4,226301
01,103,Alabama,Morgan County,4,124231
01,105,Alabama,Perry County,4,7904
01,107,Alabama,Pickens County,4,18749
01,109,Alabama,Pike County,4,33008
01,111,Alabama,Randolph County,4,22460
01,113,Alabama,Russell County,4,58594
01,115,Alabama,St. Clair County,4,93881
01,117,Alabama,Shelby County,4,230033
01,119,Alabama,Sumter County,4,11889
01,121,Alabama,Talladega County,4,80748
01,123,Alabama,Tallapoosa County,4,40913
01,125,Alabama,Tuscaloosa County,4,236690
01,127,Alabama,Walker County,4,64438
01,129,Alabama,Washington County,4,15094
01,131,Alabama,Wilcox County,4,10139
01,133,Alabama,Winston County,4,23741
02,013,Alaska,Aleutians East Borough,4,3430
02,016,Alaska,Aleutians West Census Area,4,5090
02,020,Alaska,Anchorage Municipality,4,286983
02,050,Alaska,Bethel Census Area,4,18259
02,060,Alaska,Bristol Bay Borough,4,870
02,063,Alaska,Chugach Census Area,4,6899
02,066,Alaska,Copper River Census Area,4,2609
02,068,Alaska,Denali Borough,4,1575
02,070,Alaska,Dillingham Census Area,4,4724
02,090,Alaska,Fairbanks North Star Borough,4,95202
02,100,Alaska,Haines Borough,4,2070
02,105,Alaska,Hoonah-Angoon Census Area,4,2279
02,110,Alaska,Juneau City and Borough,4,31740
02,122,Alaska,Kenai Peninsula Borough,4,60611
02,130,Alaska,Ketchikan Gateway Borough,4,13772
02,150,Alaska,Kodiak Island Borough,4,12639
02,158,Alaska,Kusilvak Census Area,4,8214
02,164,Alaska,Lake and Peninsula Borough,4,1377
02,170,Alaska,Matanuska-Susitna Borough,4,113472
02,180,Alaska,Nome Census Area,4,9791
02,185,Alaska,North Slope Borough,4,10811
02,188,Alaska,Northwest Arctic Borough,4,7453
02,195,Alaska,Petersburg Borough,4,3370
02,198,Alaska,Prince of Wales-Hyder Census Area,4,5650
02,220,Alaska,Sitka City and Borough,4,8353
02,230,Alaska,Skagway Municipality,4,1092
02,240,Alaska,Southeast Fairbanks Census Area,4,7016
02,275,Alaska,Wrangell City and Borough,4,2071
02,282,Alaska,Yakutat City and Borough,4,685
02,290,Alaska,Yukon-Koyukuk Census Area,4,5169
04,001,Arizona,Apache County,4,65533
04,003,Arizona,Cochise County,4,125487
04,005,Arizona,Coconino County,4,144223
04,007,Arizona,Gila County,4,53922
04,009,Arizona,Graham County,4,38822
04,011,Arizona,Greenlee County,4,9327
04,012,Arizona,La Paz County,4,16535
04,013,Arizona,Maricopa County,4,4555833
04,015,Arizona,Mohave County,4,220905
04,017,Arizona,Navajo County,4,108800
04,019,Arizona,Pima County,4,1057476
04,021,Arizona,Pinal County,4,465037
04,023,Arizona,Santa Cruz County,4,48680
04,025,Arizona,Yavapai County,4,246230
04,027,Arizona,Yuma County,4,208874
05,001,Arkansas,Arkansas County,4,16498
05,003,Arkansas,Ashley County,4,18348
05,005,Arkansas,Baxter County,4,42485
05,007,Arkansas,Benton County,4,302822
05,009,Arkansas,Boone County,4,38280
05,011,Arkansas,Bradley County,4,10168
05,013,Arkansas,Calhoun County,4,4687
05,015,Arkansas,Carroll County,4,28717
05,017,Arkansas,Chicot County,4,9834
05,019,Arkansas,Clark County,4,21276
05,021,Arkansas,Clay County,4,14271
05,023,Arkansas,Cleburne County,4,25253
05,025,Arkansas,Cleveland County,4,7467
05,027,Arkansas,Columbia County,4,22286
05,029,Arkansas,Conway County,4,21021
05,031,Arkansas,Craighead County,4,112863
05,033,Arkansas,Crawford County,4,61041
05,035,Arkansas,Crittenden County,4,47051
05,037,Arkansas,Cross County,4,16590
05,039,Arkansas,Dallas County,4,6196
05,041,Arkansas,Desha County,4,10758
05,043,Arkansas,Drew County,4,16912
05,045,Arkansas,Faulkner County,4,127565
05,047,Arkansas,Franklin County,4,17270
05,049,Arkansas,Fulton County,4,12355
05,051,Arkansas,Garland County,4,99982
05,053,Arkansas,Grant County,4,18129
05,055,Arkansas,Greene County,4,46408
05,057,Arkansas,Hempstead County,4,19481
05,059,Arkansas,Hot Spring County,4,33149
05,061,Arkansas,Howard County,4,12622
05,063,Arkansas,Independence County,4,38254
05,065,Arkansas,Izard County,4,14029
05,067,Arkansas,Jackson County,4,16654
05,069,Arkansas,Jefferson County,4,64295
05,071,Arkansas,Johnson County,4,25970
05,073,Arkansas,Lafayette County,4,6129
05,075,Arkansas,Lawrence County,4,16194
05,077,Arkansas,Lee County,4,8367
05,079,Arkansas,Lincoln County,4,12910
05,081,Arkansas,Little River County,4,11865
05,083,Arkansas,Logan County,4,21258
05,085,Arkansas,Lonoke County,4,75199
05,087,Arkansas,Madison County,4,17463
05,089,Arkansas,Marion County,4,17289
05,091,Arkansas,Miller County,4,42608
05,093,Arkansas,Mississippi County,4,38863
05,095,Arkansas,Monroe County,4,6568
05,097,Arkansas,Montgomery County,4,8543
05,099,Arkansas,Nevada County,4,8179
05,101,Arkansas,Newton County,4,7101
05,103,Arkansas,Ouachita County,4,21994
05,105,Arkansas,Perry County,4,10073
05,107,Arkansas,Phillips County,4,15350
05,109,Arkansas,Pike County,4,10159
05,111,Arkansas,Poinsett County,4,22453
